GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Order Service (TP05),com.example,OrderServiceRefactor,0,77,0,8,0,16,0,13,0,9
Order Service (TP05),com.example,OrderService,1,78,1,7,0,19,1,12,0,9
